# Black Desert Online — AP/DP Bracket Definitions
# Verified: 2026-09-10
# Pipe-delimited UTF-8.
#
# MONSTER AP SCALING:
# sheet AP 310..400 => 8 * (sheet_ap - 309)
# sheet AP >=401    => 728 + 16 * (sheet_ap - 400)
#
# SOURCES:
# https://www.blackdesertfoundry.com/ap-and-dp-brackets-guide/
# https://www.blackdesertfoundry.com/global-lab-updates-7th-august-2026/
#
record_type|min_sheet|max_sheet|bonus_value|unit|formula|notes
DP_DR_RATE_BRACKET|263|270|9|percent_DR||Bonus Damage Reduction Rate
DP_DR_RATE_BRACKET|271|277|10|percent_DR||Bonus Damage Reduction Rate
DP_DR_RATE_BRACKET|278|285|11|percent_DR||Bonus Damage Reduction Rate
DP_DR_RATE_BRACKET|286|292|12|percent_DR||Bonus Damage Reduction Rate
DP_DR_RATE_BRACKET|293|300|13|percent_DR||Bonus Damage Reduction Rate
DP_DR_RATE_BRACKET|301|307|14|percent_DR||Bonus Damage Reduction Rate
DP_DR_RATE_BRACKET|308|314|15|percent_DR||Bonus Damage Reduction Rate
DP_DR_RATE_BRACKET|315|321|16|percent_DR||Bonus Damage Reduction Rate
DP_DR_RATE_BRACKET|322|328|17|percent_DR||Bonus Damage Reduction Rate
DP_DR_RATE_BRACKET|329|334|18|percent_DR||Bonus Damage Reduction Rate
DP_DR_RATE_BRACKET|335|340|19|percent_DR||Bonus Damage Reduction Rate
DP_DR_RATE_BRACKET|341|346|20|percent_DR||Bonus Damage Reduction Rate
DP_DR_RATE_BRACKET|347|352|21|percent_DR||Bonus Damage Reduction Rate
DP_DR_RATE_BRACKET|353|358|22|percent_DR||Bonus Damage Reduction Rate
DP_DR_RATE_BRACKET|359|364|23|percent_DR||Bonus Damage Reduction Rate
DP_DR_RATE_BRACKET|365|370|24|percent_DR||Bonus Damage Reduction Rate
DP_DR_RATE_BRACKET|371|376|25|percent_DR||Bonus Damage Reduction Rate
DP_DR_RATE_BRACKET|377|382|26|percent_DR||Bonus Damage Reduction Rate
DP_DR_RATE_BRACKET|383|388|27|percent_DR||Bonus Damage Reduction Rate
DP_DR_RATE_BRACKET|389|394|28|percent_DR||Bonus Damage Reduction Rate
DP_DR_RATE_BRACKET|395|400|29|percent_DR||Bonus Damage Reduction Rate
DP_DR_RATE_BRACKET|401||30|percent_DR||Bonus Damage Reduction Rate
DP_FLAT_DR_BRACKET|253|255|2|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|256|258|4|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|259|261|6|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|262|264|8|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|265|269|10|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|270|274|12|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|275|278|14|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|279|282|16|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|283|286|18|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|287|289|20|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|290|292|22|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|293|295|24|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|296|298|26|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|299|301|28|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|302|304|31|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|305|307|35|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|308|310|37|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|311|313|40|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|314|316|43|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|317|320|46|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|321|323|50|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|324|325|51|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|326|327|52|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|328|329|53|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|330|331|54|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|332|333|55|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|334|335|56|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|336|337|57|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|338|339|58|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|340|341|59|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|342|344|60|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|345|347|61|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|348|350|63|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|351|356|64|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|357|359|65|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|360|362|66|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|363|365|67|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|366|368|68|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|369|370|69|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|371|373|70|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|374|376|71|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|377|379|72|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|380|382|73|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|383|386|74|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|387|389|75|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|390|391|76|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|392|394|77|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|395|399|78|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|400|404|81|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|405|409|82|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|410|414|83|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|415|419|84|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|420|425|85|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|426|439|86|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|440|454|87|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|455|475|88|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|476|480|90|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|481|485|91|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|486|490|92|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|491|495|93|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|496|500|94|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|501|505|95|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|506|510|96|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|511|515|97|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|516|520|98|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|521|525|99|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|526|530|100|flat_DR||Bonus All Damage Reduction
DP_FLAT_DR_BRACKET|531||101|flat_DR||Bonus All Damage Reduction
MONSTER_AP_SCALING|310|400||Monster_AP|8*(sheet_ap-309)|Applies from 310 displayed AP
MONSTER_AP_SCALING|401|||Monster_AP|728+16*(sheet_ap-400)|2026 scaling from 401 AP onward
