# Black Desert Online — PvE Zone AP/DP Requirements
# Verified/reconciled: 2026-09-10
# Pipe-delimited UTF-8.
#
# Blank = not safely verified from a current enough source. NEVER treat blank as zero.
# effective_ap_cap_total is the total-AP effective limit useful for target-zone scoring.
#
# SOURCES
# BDF_EDANIA_OUTER_2026 = https://www.blackdesertfoundry.com/edania-monster-zones-guide/
# BDF_EDANIA_INNER_2026 = https://www.blackdesertfoundry.com/edania-inner-monster-zones-guide/
# BDF_STAREND_2026      = https://www.blackdesertfoundry.com/global-lab-updates-16th-january-2026/
# BDF_SYCRAIA_2026      = https://www.blackdesertfoundry.com/global-lab-updates-20th-february-2026/
# BDF_DEHKIA_2026       = https://www.blackdesertfoundry.com/global-lab-updates-9th-january-2026/
# BDF_AP_REBALANCE_2025 = https://www.blackdesertfoundry.com/global-lab-updates-18th-july-2025/
# BDF_ATOR_GUIDE        = https://www.blackdesertfoundry.com/ators-shoes-guide/
# BDF_DEHKIA_GUIDE      = https://www.blackdesertfoundry.com/dehkias-lantern-guide/
#
region|zone|party_size|recommended_sheet_ap|recommended_sheet_dp|recommended_total_ap|recommended_total_dp|effective_ap_cap_total|data_status|source_id|notes
Dehkia|Tunkuta [Dehkia's Lantern]|2|310|400|950||1180|CURRENT_AP_CAP_DP_VERIFIED|BDF_AP_REBALANCE_2025+BDF_DEHKIA_GUIDE|Party of 2
Dehkia|Crescent Shrine [Dehkia's Lantern]|1|325|400|1000||1350|CURRENT_AP_CAP_DP_FROM_ZONE_GUIDE|BDF_AP_REBALANCE_2025+BDF_DEHKIA_GUIDE|AP reflects 2025 rebalance
Dehkia|Cadry Ruins [Dehkia's Lantern]|1|330|400|1100||1395|CURRENT_AP_CAP_DP_FROM_ZONE_GUIDE|BDF_AP_REBALANCE_2025+BDF_DEHKIA_GUIDE|AP reflects 2025 rebalance
Dehkia|Olun's Valley [Dehkia's Lantern II]|3|340|430|1250||1490|CURRENT_AP_CAP_DP_FROM_ZONE_GUIDE|BDF_AP_REBALANCE_2025+BDF_DEHKIA_GUIDE|Party of 3
Dehkia|Ash Forest [Dehkia's Lantern II]|1|345|430|1300||1540|CURRENT_AP_CAP_DP_FROM_ZONE_GUIDE|BDF_AP_REBALANCE_2025+BDF_DEHKIA_GUIDE|
Kamasylvia|Gyfin Rhasia Temple Underground|1|290||830||1030|AP_CAP_VERIFIED_DP_LEFT_BLANK|BDF_AP_REBALANCE_2025|DP intentionally blank
O'dyllita|Ash Forest|1|300||830||1130|AP_CAP_VERIFIED_DP_LEFT_BLANK|BDF_AP_REBALANCE_2025|DP intentionally blank
O'dyllita|Crypt of Resting Thoughts|1|300||830||1130|AP_CAP_VERIFIED_DP_LEFT_BLANK|BDF_AP_REBALANCE_2025|DP intentionally blank
Calpheon Elvia|Hexe Sanctuary [Elvia]|1|300||898||1130|AP_CAP_VERIFIED_DP_LEFT_BLANK|BDF_AP_REBALANCE_2025|DP intentionally blank
Calpheon Elvia|Quint Hill [Elvia]|1|320||920||1295|AP_CAP_VERIFIED_DP_LEFT_BLANK|BDF_AP_REBALANCE_2025|DP intentionally blank
Land of Morning Light|Dokkebi Forest|1|335||1300||1445|AP_CAP_VERIFIED_DP_LEFT_BLANK|BDF_AP_REBALANCE_2025|DP intentionally blank
Land of Morning Light|Fortunate Golden Pig Cave|1|340||1350||1490|AP_CAP_VERIFIED_DP_LEFT_BLANK|BDF_AP_REBALANCE_2025|DP intentionally blank
Land of Morning Light|Golden Pig Cave|1|345||1350||1540|AP_CAP_VERIFIED_DP_LEFT_BLANK|BDF_AP_REBALANCE_2025|DP intentionally blank
Atoraxxion|Orzekea [Elvia]|5|350||1350||1595|AP_CAP_VERIFIED_DP_LEFT_BLANK|BDF_AP_REBALANCE_2025|Group content; DP intentionally blank
